Data structure size: 9309128384 bits , construction time: 49884381910 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",3114789,223.516,224.612,ns,,,,,,0,0,2,1.77633e+13
"BM_run/2",3114634,223.996,225.06,ns,,,,,,0,0,3,1.77624e+13
"BM_run/3",3484001,199.544,200.396,ns,,,,,,0,0,5,1.22796e+13
"BM_run/4",3389043,206.185,207.047,ns,,,,,,0,0,8,7.38238e+12
"BM_run/5",2208300,315.612,317.064,ns,,,,,,0,0,13,2.97296e+12
"BM_run/6",2912870,239.535,240.341,ns,,,,,,0,0,21,2.42362e+12
"BM_run/7",2627359,265.23,266.381,ns,,,,,,0,0,34,1.35106e+12
"BM_run/8",2503986,278.055,279.163,ns,,,,,,0,0,55,7.95794e+11
"BM_run/9",2814324,247.153,248.319,ns,,,,,,0,0,89,5.52781e+11
"BM_run/10",2829228,246.606,247.502,ns,,,,,,0,0,144,3.43448e+11
"BM_run/11",2293115,304.437,305.506,ns,,,,,,0,0,233,1.72039e+11
"BM_run/12",2461615,283.927,284.703,ns,,,,,,0,0,377,1.1414e+11
"BM_run/13",1946250,358.396,359.693,ns,,,,,,0,0,610,5.57717e+10
"BM_run/14",1709295,409.231,409.724,ns,,,,,,0,0,987,3.02733e+10
"BM_run/15",1764745,396.12,396.77,ns,,,,,,0,0,1597,1.93151e+10
"BM_run/16",1389184,503.634,503.903,ns,,,,,,0,0,2584,9.39783e+09
"BM_run/17",1000616,696.364,696.096,ns,,,,,,0,0,4181,4.18257e+09
"BM_run/18",577485,1210.01,1212.25,ns,,,,,,0,0,6765,1.49222e+09
"BM_run/19",367282,1899.52,1904.98,ns,,,,,,0,0,10946,5.86182e+08
"BM_run/20",316304,2206.66,2211.89,ns,,,,,,0,0,17711,3.12192e+08
"BM_run/21",162943,4291.54,4296.92,ns,,,,,,0,0,28657,9.92323e+07
"BM_run/22",139683,5009.83,5011.16,ns,,,,,,0,0,46368,5.26605e+07
"BM_run/23",133571,5240.81,5240.87,ns,,,,,,0,0,75025,3.09885e+07
"BM_run/24",69887,10020,10016.1,ns,,,,,,0,0,121393,1.00637e+07
"BM_run/25",41935,16702.8,16695.1,ns,,,,,,0,0,196418,3.69028e+06
"BM_run/26",32189,21764.1,21754.6,ns,,,,,,0,0,317811,1.7704e+06
"BM_run/27",19849,35269,35266.8,ns,,,,,,0,0,514229,655017
"BM_run/28",11865,59012,58994.6,ns,,,,,,0,0,832040,249165
"BM_run/29",6993,100117,100045,ns,,,,,,0,0,1.34627e+06,83916
"BM_run/30",4327,161919,161798,ns,,,,,,0,0,2.17831e+06,34616
"BM_run/31",2648,264635,264412,ns,,,,,,0,0,3.52458e+06,10592
"BM_run/32",1652,423991,423628,ns,,,,,,0,0,5.70289e+06,4956
"BM_run/33",940,736639,735406,ns,,,,,,0,0,9.22746e+06,940
