Data structure size: 91805132736 bits, construction time: 526867612883 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:100",100,361.343,338.71,ns,,,,,,0,1
"BM_run/2/iterations:100",100,1440.48,1439.62,ns,,,,,,0,2
"BM_run/3/iterations:100",100,1753.27,1755.46,ns,,,,,,0,3
"BM_run/4/iterations:100",100,3211.5,3213.21,ns,,,,,,0,4
"BM_run/5/iterations:100",100,3255.65,3257.29,ns,,,,,,0,5
"BM_run/6/iterations:100",100,3221.29,3215.58,ns,,,,,,0,6
"BM_run/7/iterations:100",100,2624.82,2626.4,ns,,,,,,0,7
"BM_run/8/iterations:100",100,2817.93,2819.99,ns,,,,,,0,8
"BM_run/9/iterations:100",100,2649.57,2643.83,ns,,,,,,0,9
"BM_run/10/iterations:100",100,2649.54,2651.78,ns,,,,,,0,10
"BM_run/20/iterations:100",100,2399.64,2400.07,ns,,,,,,0,20
"BM_run/30/iterations:100",100,2405.59,2406.65,ns,,,,,,0,30
"BM_run/40/iterations:100",100,2357.6,2350.51,ns,,,,,,0,40
"BM_run/50/iterations:100",100,2230.4,2232.72,ns,,,,,,0,50
"BM_run/60/iterations:100",100,2261.26,2262.05,ns,,,,,,0,60
"BM_run/70/iterations:100",100,2342.48,2345.65,ns,,,,,,0,70
"BM_run/80/iterations:100",100,2342.44,2336.32,ns,,,,,,0,80
"BM_run/90/iterations:100",100,2298.54,2301.43,ns,,,,,,0,90
"BM_run/100/iterations:100",100,2289.26,2292.18,ns,,,,,,0,100
"BM_run/200/iterations:100",100,2489.4,2494.49,ns,,,,,,0,200
"BM_run/300/iterations:100",100,2804.38,2791.43,ns,,,,,,0,300
"BM_run/400/iterations:100",100,2636.48,2641.96,ns,,,,,,0,400
"BM_run/500/iterations:100",100,2651.31,2657.49,ns,,,,,,0,500
"BM_run/600/iterations:100",100,2959.68,2954.68,ns,,,,,,0,600
"BM_run/700/iterations:100",100,2828.34,2833.79,ns,,,,,,0,700
"BM_run/800/iterations:100",100,2748.33,2754.95,ns,,,,,,0,800
"BM_run/900/iterations:100",100,2812.44,2808.38,ns,,,,,,0,900
"BM_run/1000/iterations:100",100,2888.05,2893.88,ns,,,,,,0,1000
"BM_run/2000/iterations:100",100,3158.51,3164.69,ns,,,,,,0,2000
"BM_run/3000/iterations:100",100,3368.5,3367.67,ns,,,,,,0,3000
"BM_run/4000/iterations:100",100,3496.64,3503.07,ns,,,,,,0,4000
"BM_run/5000/iterations:100",100,3835.85,3841.11,ns,,,,,,0,5000
"BM_run/6000/iterations:100",100,3958.29,3964.33,ns,,,,,,0,6000
"BM_run/7000/iterations:100",100,3933.98,3930.61,ns,,,,,,0,7000
"BM_run/8000/iterations:100",100,3920.13,3925.86,ns,,,,,,0,8000
"BM_run/9000/iterations:100",100,4741.87,4739.75,ns,,,,,,0,9000
"BM_run/10000/iterations:100",100,4459.64,4465.29,ns,,,,,,0,10000
"BM_run/20000/iterations:100",100,5861.65,5856.26,ns,,,,,,0,20000
"BM_run/30000/iterations:100",100,6028.96,6016.13,ns,,,,,,0,30000
"BM_run/40000/iterations:100",100,7805.48,7797.02,ns,,,,,,0,40000
"BM_run/50000/iterations:100",100,8059.73,8049.88,ns,,,,,,0,50000
"BM_run/60000/iterations:100",100,8014.79,8001.85,ns,,,,,,0,60000
"BM_run/70000/iterations:100",100,8110.32,8095.61,ns,,,,,,0,70000
"BM_run/80000/iterations:100",100,8149.79,8144.61,ns,,,,,,0,80000
"BM_run/90000/iterations:100",100,8335.42,8335.66,ns,,,,,,0,90000
"BM_run/100000/iterations:100",100,8202.68,8186.82,ns,,,,,,0,100000
"BM_run/200000/iterations:100",100,9647.65,9634.55,ns,,,,,,0,200000
"BM_run/300000/iterations:100",100,10304.1,10287.9,ns,,,,,,0,300000
"BM_run/400000/iterations:100",100,11820.7,11790.2,ns,,,,,,0,400000
"BM_run/500000/iterations:100",100,13856.3,13839.9,ns,,,,,,0,500000
"BM_run/600000/iterations:100",100,15618.3,15569.9,ns,,,,,,0,600000
"BM_run/700000/iterations:100",100,17586.5,17506.5,ns,,,,,,0,700000
"BM_run/800000/iterations:100",100,21713,21567.5,ns,,,,,,0,800000
"BM_run/900000/iterations:100",100,24147.2,24017.9,ns,,,,,,0,900000
"BM_run/1000000/iterations:100",100,29004.7,28901.9,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:100",100,64137.9,64054.4,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:100",100,97192.7,96967.1,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:100",100,116036,115787,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:100",100,144157,143897,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:100",100,165151,164892,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:100",100,205732,205374,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:100",100,271319,270805,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:100",100,273376,272976,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:100",100,310781,310334,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:100",100,610238,609176,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:100",100,886003,884575,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:100",100,2.20039e+06,2.19732e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:100",100,2.57737e+06,2.57369e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:100",100,3.03977e+06,3.03582e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:100",100,3.82866e+06,3.82367e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:100",100,4.07833e+06,4.07315e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:100",100,4.68803e+06,4.68128e+06,ns,,,,,,0,9e+07
