Data structure size: 91811481728 bits, construction time: 84650697999 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,220.952,221.203,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,233.441,234.28,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,821.134,819.783,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,651.994,651.002,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1368.46,1365.24,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,820.006,816.951,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,976.099,972.64,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,950.525,947.816,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,955.093,951.024,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,977.584,973.383,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1098.27,1093.97,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1179.23,1175.16,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1309.58,1305.2,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1380.74,1376.9,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1422.88,1419.64,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1525.92,1522.68,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1571.03,1567.89,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1633.48,1629.6,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1640.43,1637.64,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1911.82,1908.74,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2181.72,2178.38,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2269.03,2265.87,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2351.13,2348.62,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,2658.21,2654.83,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,2707.77,2704.69,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,2724.43,2721.07,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,2726.01,2723.06,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,2775.17,2772.83,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3199.58,3196.88,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,3436.86,3433.28,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,3475.62,3471.75,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,3914.79,3911.51,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,3920.85,3918.09,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,3945.08,3942.16,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,3953.52,3949.93,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,4851.8,4848.3,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,4855.5,4851.28,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,6809.85,6806.05,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,6804.93,6801.96,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,10481.9,10477.1,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,10499.6,10494,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,10488.3,10483.1,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,10495.2,10487.4,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,10515.9,10510.9,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,10522.5,10516.9,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,10487.6,10482.2,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,10504.7,10499.4,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,10480.7,10475.4,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,10479,10473.6,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10545.5,10538.5,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10535.9,10528.3,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,10550.8,10543.9,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,10485.8,10479.2,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,10492.4,10487.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,10494.5,10488.6,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,10476,10471.5,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,10503.9,10497.8,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,10504,10499.4,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,10506,10499.7,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,10491.5,10486.5,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,10510.4,10503.1,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,10486.6,10481.4,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,10497.6,10491.9,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,10531.3,10524.5,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,10503.5,10498.1,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,10519,10512.6,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,10507.7,10500.8,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,10528.2,10521,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,10485.7,10479.4,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,10552.5,10545.5,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,10501.3,10494.8,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,10532.6,10526.6,ns,,,,,,0,0,9e+07,10000
