Data structureconstruction time: 870294713190 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4710908,147.808,148.71,ns,,,,,,0,0,1,9.87949e+14
"BM_run/2",107910,6434.09,6436.32,ns,,,,,,0,0,2,3.65006e+11
"BM_run/3",30366,23719.8,23701.1,ns,,,,,,0,0,3,1.65665e+09
"BM_run/4",25362,27780.7,27755,ns,,,,,,0,0,4,2.23398e+07
"BM_run/5",28859,24430.1,24407.1,ns,,,,,,0,0,5,438398
"BM_run/6",15906,44162.4,44121,ns,,,,,,0,0,6,19650
"BM_run/7",11034,63676.7,63615.3,ns,,,,,,0,0,7,11077
"BM_run/8",10310,68828.7,68765,ns,,,,,,0,0,8,10310
"BM_run/9",9661,72415.2,72346.1,ns,,,,,,0,0,9,9661
"BM_run/10",9510,75847.2,75775.2,ns,,,,,,0,0,10,9510
"BM_run/20",6530,108188,108086,ns,,,,,,0,0,20,6530
"BM_run/30",5059,139488,139359,ns,,,,,,0,0,30,5059
"BM_run/40",3998,172125,171971,ns,,,,,,0,0,40,3998
"BM_run/50",3377,200705,200524,ns,,,,,,0,0,50,3377
"BM_run/60",3068,234997,234799,ns,,,,,,0,0,60,3068
"BM_run/70",2693,270232,269998,ns,,,,,,0,0,70,2693
"BM_run/80",2382,295850,295604,ns,,,,,,0,0,80,2382
"BM_run/90",2184,328515,328234,ns,,,,,,0,0,90,2184
"BM_run/100",1975,351329,351031,ns,,,,,,0,0,100,1975
"BM_run/200",972,673841,673298,ns,,,,,,0,0,200,972
"BM_run/300",717,905777,905059,ns,,,,,,0,0,300,717
"BM_run/400",576,1.24363e+06,1.24265e+06,ns,,,,,,0,0,400,576
"BM_run/500",442,1.58323e+06,1.58199e+06,ns,,,,,,0,0,500,442
"BM_run/600",354,1.7821e+06,1.78066e+06,ns,,,,,,0,0,600,354
"BM_run/700",345,2.17565e+06,2.17391e+06,ns,,,,,,0,0,700,345
"BM_run/800",274,2.47989e+06,2.47792e+06,ns,,,,,,0,0,800,274
"BM_run/900",262,2.62325e+06,2.62119e+06,ns,,,,,,0,0,900,262
"BM_run/1000",199,3.16826e+06,3.16585e+06,ns,,,,,,0,0,1000,199
"BM_run/2000",94,5.53876e+06,5.53415e+06,ns,,,,,,0,0,2000,94
"BM_run/3000",106,1.01572e+07,1.01494e+07,ns,,,,,,0,0,3000,106
"BM_run/4000",77,1.23259e+07,1.23164e+07,ns,,,,,,0,0,4000,77
"BM_run/5000",32,1.58873e+07,1.58753e+07,ns,,,,,,0,0,5000,32
"BM_run/6000",42,1.86371e+07,1.86224e+07,ns,,,,,,0,0,6000,42
"BM_run/7000",43,2.21307e+07,2.2114e+07,ns,,,,,,0,0,7000,43
"BM_run/8000",25,2.96343e+07,2.96116e+07,ns,,,,,,0,0,8000,25
"BM_run/9000",23,3.39336e+07,3.39093e+07,ns,,,,,,0,0,9000,23
"BM_run/10000",29,3.35589e+07,3.35335e+07,ns,,,,,,0,0,10000,29
"BM_run/20000",10,6.98986e+07,6.9847e+07,ns,,,,,,0,0,20000,10
"BM_run/30000",13,8.36769e+07,8.36104e+07,ns,,,,,,0,0,30000,13
"BM_run/40000",10,9.41808e+07,9.41023e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",7,1.4745e+08,1.47337e+08,ns,,,,,,0,0,50000,7
"BM_run/60000",7,2.02403e+08,2.02252e+08,ns,,,,,,0,0,60000,7
"BM_run/70000",4,1.99968e+08,1.99812e+08,ns,,,,,,0,0,70000,4
"BM_run/80000",4,3.82921e+08,3.82658e+08,ns,,,,,,0,0,80000,4
"BM_run/90000",3,2.02875e+08,2.02699e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",2,4.24484e+08,4.24192e+08,ns,,,,,,0,0,100000,2
"BM_run/200000",1,5.00416e+08,5.00014e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,9.53699e+08,9.5302e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",1,6.69365e+08,6.68697e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",1,8.91484e+08,8.90597e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,3.84877e+09,3.84637e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,2.876e+09,2.87406e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,4.18738e+09,4.18468e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,3.80059e+09,3.79809e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,4.71593e+09,4.71293e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,5.29335e+09,5.28908e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,6.69857e+09,6.6928e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.01047e+10,1.00965e+10,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.05833e+10,1.05738e+10,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.51663e+10,3.51441e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.62864e+10,3.62633e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,2.17175e+10,2.17006e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,8.76202e+10,8.75663e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,1.97368e+10,1.97186e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,4.16245e+10,4.1587e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,1.01644e+11,1.01572e+11,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,8.94513e+10,8.93744e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,1.57162e+11,1.5705e+11,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,1.06589e+11,1.06486e+11,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.16354e+11,1.16236e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.68732e+11,1.68582e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,2.27037e+11,2.26858e+11,ns,,,,,,0,0,9e+07,1
